Artigo,Funexpression
BCIN_16g04050,BCIN_01g00180
BCIN_15g01990,BCIN_01g00330
BCIN_16g00280,BCIN_01g00380
BCIN_02g05600,BCIN_01g00390
BCIN_01g06910,BCIN_01g00430
BCIN_07g06440,BCIN_01g00450
BCIN_06g02290,BCIN_01g00460
BCIN_05g04010,BCIN_01g00520
BCIN_05g04400,BCIN_01g00530
BCIN_01g06040,BCIN_01g00540
BCIN_16g03370,BCIN_01g00640
BCIN_02g09240,BCIN_01g00840
BCIN_01g01480,BCIN_01g00920
BCIN_16g05198,BCIN_01g01080
BCIN_01g08900,BCIN_01g01140
BCIN_01g05620,BCIN_01g01190
BCIN_16g01630,BCIN_01g01220
BCIN_13g00080,BCIN_01g01280
BCIN_10g00060,BCIN_01g01310
BCIN_11g03580,BCIN_01g01330
BCIN_01g04060,BCIN_01g01350
BCIN_08g04700,BCIN_01g01740
BCIN_12g00130,BCIN_01g01790
BCIN_12g00350,BCIN_01g01890
BCIN_03g02050,BCIN_01g02050
BCIN_06g04560,BCIN_01g02160
BCIN_01g08200,BCIN_01g02170
BCIN_16g02960,BCIN_01g02310
BCIN_16g02760,BCIN_01g02330
BCIN_05g04840,BCIN_01g02400
BCIN_11g06400,BCIN_01g02430
BCIN_08g02810,BCIN_01g02450
BCIN_09g01020,BCIN_01g02460
BCIN_03g05600,BCIN_01g02470
BCIN_11g04630,BCIN_01g02565
BCIN_02g01630,BCIN_01g02630
BCIN_08g06330,BCIN_01g02660
BCIN_02g00800,BCIN_01g02720
BCIN_02g04470,BCIN_01g02800
BCIN_16g02970,BCIN_01g02840
BCIN_03g04460,BCIN_01g02950
BCIN_09g05090,BCIN_01g03250
BCIN_14g01650,BCIN_01g03260
BCIN_16g00680,BCIN_01g03470
BCIN_16g04600,BCIN_01g03480
BCIN_09g00590,BCIN_01g03780
BCIN_09g01030,BCIN_01g03820
BCIN_06g01530,BCIN_01g04110
BCIN_10g00500,BCIN_01g04120
BCIN_07g06780,BCIN_01g04310
BCIN_10g02550,BCIN_01g04380
BCIN_05g01800,BCIN_01g04500
BCIN_08g02060,BCIN_01g04510
BCIN_14g05420,BCIN_01g04580
BCIN_13g02160,BCIN_01g04620
BCIN_04g05890,BCIN_01g04640
BCIN_09g03850,BCIN_01g04660
BCIN_02g03480,BCIN_01g04700
BCIN_09g01060,BCIN_01g04730
BCIN_08g03310,BCIN_01g04870
BCIN_12g03520,BCIN_01g04890
BCIN_04g05140,BCIN_01g04910
BCIN_11g02520,BCIN_01g04970
BCIN_08g06340,BCIN_01g05110
BCIN_08g02820,BCIN_01g05140
BCIN_01g08690,BCIN_01g05160
BCIN_06g06430,BCIN_01g05190
BCIN_07g04370,BCIN_01g05270
BCIN_04g02660,BCIN_01g05310
BCIN_12g05860,BCIN_01g05380
BCIN_01g02900,BCIN_01g05610
BCIN_08g02160,BCIN_01g05710
BCIN_03g00890,BCIN_01g05730
BCIN_09g04220,BCIN_01g05740
BCIN_07g06590,BCIN_01g05860
BCIN_01g06380,BCIN_01g05880
BCIN_02g09120,BCIN_01g05890
BCIN_09g04230,BCIN_01g05910
BCIN_15g00080,BCIN_01g05920
BCIN_15g01040,BCIN_01g05930
BCIN_03g00530,BCIN_01g06000
BCIN_10g02340,BCIN_01g06010
BCIN_06g05370,BCIN_01g06030
BCIN_12g06690,BCIN_01g06080
BCIN_13g03970,BCIN_01g06140
BCIN_02g05500,BCIN_01g06200
BCIN_01g05790,BCIN_01g06250
BCIN_16g04150,BCIN_01g06260
BCIN_03g01100,BCIN_01g06270
BCIN_03g08070,BCIN_01g06280
BCIN_16g04030,BCIN_01g06300
