Gene_ID,Gene_Name,logFC,logCPM,LR,PValue,FDR,Regulation
BCIN_07g00950,Uncharacterized,-7.5611312587608,5.45793097625106,909.033519492029,1.06672623243672e-199,9.18131268258287e-196,DOWN
BCIN_10g05950,Bcpac1,-9.53928596853573,8.01433547762016,609.375523687806,1.52958670029013e-134,2.63303054587943e-131,DOWN
BCIN_06g05050,Uncharacterized,-8.08072689612459,7.91679583436314,537.105676408645,8.03691925935252e-119,9.8819662950353e-116,DOWN
BCIN_15g05670,Uncharacterized,-6.02328456316064,7.17775985045669,480.469809812024,1.68855110108504e-106,1.21111327725325e-103,DOWN
BCIN_07g00980,Uncharacterized,-5.04675935089421,5.96486935876264,459.459591537393,6.30222100974484e-102,3.87451544506242e-99,DOWN
BCIN_07g00970,Uncharacterized,-4.49221178993572,5.94130585651882,434.848389973993,1.43103404074092e-96,7.245241169798279e-94,DOWN
BCIN_07g00960,Uncharacterized,-4.36428472439577,6.75763582706291,422.37493110143,7.42194709747651e-94,3.5489277037766803e-91,DOWN
BCIN_04g05580,Uncharacterized,-6.44066162802856,4.69523243610387,403.472941507225,9.65888523929234e-90,3.9587631073613902e-87,DOWN
BCIN_12g01030,Uncharacterized,-6.0891963884793,9.05728148744776,362.905902076917,6.55902226360204e-81,2.56606839194649e-78,DOWN
BCIN_09g01190,Uncharacterized,-7.36839443384194,9.65985372203419,340.231515743678,5.68133818437834e-76,2.03746990637268e-73,DOWN
BCIN_16g02720,Uncharacterized,-3.75354732049959,3.02651111838233,298.005019612109,8.96221094806842e-67,2.65992240103534e-64,DOWN
BCIN_05g03460,Uncharacterized,-6.17219244970701,5.20615553743986,286.534249462099,2.82961535495625e-64,7.610781050033879e-62,DOWN
BCIN_07g01720,Uncharacterized,-5.07452551459368,5.98212061048561,281.50066709901,3.5365340574893803e-63,9.223923828124571e-61,DOWN
BCIN_05g08130,Uncharacterized,-3.71219281161487,4.07212193055627,277.286451193484,2.9304583446278003e-62,7.41836910947397e-60,DOWN
BCIN_12g01020,Bcoah,-7.35000093312761,12.6759339842276,261.871443614889,6.7079781778248e-59,1.6495876621868e-56,DOWN
BCIN_01g09430,Uncharacterized,-4.40634382042136,3.28467640193001,257.686210727856,5.4811976839549306e-58,1.3104630129388899e-55,DOWN
BCIN_05g05830,Uncharacterized,-3.62496910822876,5.05118245975439,253.035471590263,5.65841943789263e-57,1.28163200268268e-54,DOWN
BCIN_11g01840,Uncharacterized,-4.6781713273545,3.02782475053715,240.93935580388,2.4540627598850502e-54,5.0290757557930106e-52,DOWN
BCIN_10g00770,Uncharacterized,-2.27693536997359,5.59455845965398,236.138855568238,2.7329727011995003e-53,5.34606728164184e-51,DOWN
BCIN_02g07100,Uncharacterized,-4.51936320362973,2.66035135702149,231.300950658993,3.10191822996917e-52,5.9329356011877e-50,DOWN
BCIN_01g08120,Uncharacterized,-3.9687780842261,4.05239895452666,220.70715982365,6.34066928594579e-50,1.16115192647097e-47,DOWN
BCIN_01g03240,Uncharacterized,-2.93363415939679,5.65702460506178,214.141546897533,1.71529407924755e-48,3.01296655920075e-46,DOWN
BCIN_09g04600,Uncharacterized,-2.60113016568486,4.83573437407055,213.323186966024,2.5874205417702498e-48,4.28267857750317e-46,DOWN
BCIN_07g00990,Uncharacterized,-2.9019561974383,5.94618111427141,212.462382926139,3.9871097514169596e-48,6.47491577932939e-46,DOWN
BCIN_02g03090,Uncharacterized,-3.39204846652496,7.00804545761892,210.252452248712,1.2100074239572102e-47,1.92861738851847e-45,DOWN
BCIN_14g00750,Uncharacterized,-3.06697339163888,3.69857258085324,205.638963180082,1.2284769855142801e-46,1.88812525255739e-44,DOWN
BCIN_16g00180,Uncharacterized,-3.16855059519302,3.7969165383763,201.845928065445,8.26072366679704e-46,1.22586290689866e-43,DOWN
BCIN_16g04210,Bcidl1,-4.23033783115227,2.51666103142215,198.126740310667,5.35338512576441e-45,7.809590809738009e-43,DOWN
BCIN_02g00810,Uncharacterized,-2.15891554445947,5.73078495849338,186.217577048438,2.1281144244057298e-42,2.65459142766089e-40,DOWN
BCIN_06g05360,Uncharacterized,-3.10775139119233,4.662121773991,184.715484780682,4.5280412798140296e-42,5.412896013244349e-40,DOWN
BCIN_12g05220,Uncharacterized,-3.10793483174121,4.09447118610624,183.63156176072,7.80810676258835e-42,9.2060787541915e-40,DOWN
BCIN_05g01750,Uncharacterized,-1.63530970910845,8.12304816981103,181.608003259417,2.15941643331166e-41,2.47814629886846e-39,DOWN
BCIN_14g04970,Uncharacterized,-4.46789791316916,5.56108270109573,181.189922105224,2.66450581298734e-41,3.0175528332081603e-39,DOWN
BCIN_08g06280,Uncharacterized,-2.91622622110728,3.45024904722171,178.869633418972,8.55518502366387e-41,9.20430968733436e-39,DOWN
BCIN_09g05390,Uncharacterized,-2.81151019557998,5.62846777726015,173.986619153124,9.96567173519549e-40,1.04603093444912e-37,DOWN
BCIN_02g04690,Uncharacterized,-8.36437929572233,10.5149790586994,172.588266928532,2.01320282602859e-39,2.04494070775603e-37,DOWN
BCIN_07g04370,Uncharacterized,-2.09856226917344,6.29638489713739,169.167607115397,1.12453233691234e-38,1.0998692981596001e-36,DOWN
BCIN_06g02500,Uncharacterized,-1.7511390918516,5.41748758066469,168.068161213453,1.95484872204998e-38,1.8489431813938697e-36,DOWN
BCIN_09g05240,Uncharacterized,-6.36266006251363,7.87900994348806,167.888294073462,2.13993525959047e-38,2.0020024760103398e-36,DOWN
BCIN_12g00300,Uncharacterized,-2.99634789527781,7.30960010735869,166.065239885074,5.35321983165794e-38,4.9543186119440694e-36,DOWN
BCIN_10g05630,Uncharacterized,-2.79343012980123,6.88127821129399,163.249009981052,2.20709953280908e-37,1.9996321767250302e-35,DOWN
BCIN_13g02070,Uncharacterized,-6.61369913340978,4.82639963533861,161.855575442529,4.44878688226222e-37,3.98861548912823e-35,DOWN
BCIN_03g02600,Uncharacterized,-2.00932522484181,4.28931325826793,161.556986455854,5.16982121020473e-37,4.5404746077787904e-35,DOWN
