Gene_ID,Gene_Name,logFC,logCPM,LR,PValue,FDR,Regulation
BCIN_03g00190,Uncharacterized,6.83645432653173,5.95296222221921,756.043841092425,1.94652460038068e-166,8.37686861773827e-163,UP
BCIN_01g00800,Bclcc8,3.57398232239296,5.1435154783409,659.400860456007,2.0166551338474203e-145,5.78578357900825e-142,UP
BCIN_02g04360,Bcygh1,3.67206420795137,7.62404237624593,631.022934372583,2.9946273047583e-139,6.4436893030136604e-136,UP
BCIN_04g04150,Uncharacterized,7.71833300015891,7.33666383524161,558.832323548208,1.50878858365396e-123,2.1643572232516e-120,UP
BCIN_01g11480,Uncharacterized,8.63628001003886,8.85150883300897,535.322483321075,1.96347115206772e-118,2.11244952573085e-115,UP
BCIN_01g11520,Uncharacterized,5.95225846277134,8.84750208416736,531.195894755132,1.5515864897165401e-117,1.4838338796655898e-114,UP
BCIN_15g05080,Bcgas5,3.75068100264056,8.39153825118095,530.5688332563,2.1242038613276802e-117,1.8283022634447397e-114,UP
BCIN_11g03590,Uncharacterized,5.80384818202478,3.55374002852382,495.709814242032,8.155227793388611e-110,6.381095056154159e-107,UP
BCIN_01g11540,Uncharacterized,6.84006421773973,8.32360499045423,479.879319461918,2.2698831069725503e-106,1.5028372232086699e-103,UP
BCIN_01g11530,Uncharacterized,6.09391813696482,8.71244444708352,453.599622386686,1.18780459665947e-100,6.815622775632051e-98,UP
BCIN_01g11470,Uncharacterized,4.89903073863579,8.9238247749602,439.382533832672,1.47513193345364e-97,7.93528784452218e-95,UP
BCIN_01g11500,Uncharacterized,4.71571571977805,9.39605545916598,415.237995471422,2.6544026003234296e-92,1.20244437794651e-89,UP
BCIN_01g00100,Bcboa10,8.63113738189008,4.43422410979874,413.87567917243,5.2541226625592895e-92,2.26111168783239e-89,UP
BCIN_05g06090,Uncharacterized,3.95432498738515,5.86121002890574,355.8559854876,2.24877256632842e-79,8.415298034082039e-77,UP
BCIN_01g10840,Uncharacterized,2.97469476398892,9.55188764303329,330.461448108585,7.62576738885147e-74,2.62539919663378e-71,UP
BCIN_11g00870,Uncharacterized,4.71450028649765,4.89565063373703,325.647614938145,8.526316653897391e-73,2.8225387476959598e-70,UP
BCIN_14g02740,Uncharacterized,3.39878067283795,5.22858146194356,325.468820393384,9.3262002009813e-73,2.97298537517948e-70,UP
BCIN_01g11450,Bcnrps7,5.59805781085099,8.77473787632194,324.917076484666,1.2299305702784e-72,3.7807187208522096e-70,UP
BCIN_09g04280,Uncharacterized,2.09218254111768,6.25722525308794,297.130700286337,1.38964861749437e-66,3.98690188359133e-64,UP
BCIN_03g08050,Bcpks13,4.72293272730793,9.36132314933141,288.822601038957,8.97640957838537e-65,2.4922566851988004e-62,UP
BCIN_01g06990,Uncharacterized,3.48914553479476,6.47855396703178,255.990275541551,1.28400292661105e-57,2.98686842955171e-55,UP
BCIN_05g04010,Uncharacterized,2.81707059359388,5.19272416736137,249.103848279684,4.0720228970007598e-56,8.986641301150141e-54,UP
BCIN_14g03300,Uncharacterized,3.22137884258395,8.28322002805509,245.31272799943,2.7311483055732498e-55,5.87674836651724e-53,UP
BCIN_07g05330,Uncharacterized,6.02922278073534,2.82309095966839,243.910350944341,5.5220780479266595e-55,1.1592323355732901e-52,UP
BCIN_15g04800,Uncharacterized,3.97256874940276,5.19353025058963,236.963552311852,1.80635827064848e-53,3.61565712452826e-51,UP
BCIN_06g03740,Uncharacterized,4.5420587291565,2.68089441428983,225.556058711382,5.55306085708955e-51,1.03902597384717e-48,UP
BCIN_13g01110,Uncharacterized,2.0998868275691,5.69691317031275,217.596181822376,3.0250353612621698e-49,5.42426653216323e-47,UP
BCIN_01g11490,Uncharacterized,9.35880005681075,8.99220180360036,213.88553676209,1.95068825562252e-48,3.3579147632286e-46,UP
BCIN_11g00880,Uncharacterized,3.86764483041295,2.26679733799563,213.776345291615,2.06066961338691e-48,3.4776830122394304e-46,UP
BCIN_11g01450,Bhp2,4.56912861366624,5.9440311858142,208.869223275942,2.42422170379151e-47,3.79368658264246e-45,UP
BCIN_02g00015,Uncharacterized,9.74879512639436,1.67424214126171,202.569287178992,5.74345675172611e-46,8.672619695106431e-44,UP
BCIN_01g00790,Uncharacterized,2.92919396131784,4.03986159752728,195.895093569557,1.64308423227807e-44,2.34970129552525e-42,UP
BCIN_01g11550,Bcpks5,6.25176653863285,9.05550105097504,195.868376500688,1.6652931221917101e-44,2.34970129552525e-42,UP
BCIN_06g03730,Uncharacterized,5.02521954781234,4.29835241455325,194.257359787879,3.74191578873375e-44,5.194624063488939e-42,UP
BCIN_05g03540,Uncharacterized,6.02067543869409,4.60275070527702,193.656897368879,5.05997374501736e-44,6.858288063350249e-42,UP
BCIN_15g04780,Uncharacterized,3.84260089576743,6.39773474804576,193.641339445974,5.09969136812381e-44,6.858288063350249e-42,UP
BCIN_07g03800,Uncharacterized,5.38059045208593,2.55373802470952,193.567847555957,5.29156399758869e-44,7.00684481957628e-42,UP
BCIN_13g01120,Uncharacterized,3.72726960420317,7.91360448282888,192.302232407149,9.99583182147927e-44,1.30354734071927e-41,UP
BCIN_07g05680,Uncharacterized,2.1588060783224,5.47293925373139,188.175180177818,7.9553567656672e-43,1.0219665027178698e-40,UP
BCIN_16g01000,CND8,4.06255018610515,11.2499423455129,186.928481727967,1.48869326279427e-42,1.8842916048338698e-40,UP
BCIN_13g02690,Uncharacterized,2.02377182545752,6.90462907947446,185.31316975855,3.3529774233693895e-42,4.12272524042005e-40,UP
BCIN_02g01130,Uncharacterized,2.93490115384176,6.45768948673366,184.737156598778,4.478980742369529e-42,5.412896013244349e-40,UP
BCIN_15g04810,Bcmfs1,3.42486750731896,3.63700775637186,181.659722387346,2.10399434204513e-41,2.4471728786462702e-39,UP
BCIN_15g04750,Uncharacterized,3.65589476541526,4.53151657123823,180.504906883952,3.75992771632505e-41,4.20281790317009e-39,UP
BCIN_08g03410,Uncharacterized,3.44626306848039,3.77739422490141,179.689805410257,5.66433194291535e-41,6.2503724400862e-39,UP
BCIN_12g06430,Uncharacterized,2.85365754193345,8.11173117127245,179.39617256939,6.56540527657191e-41,7.15296749562715e-39,UP
BCIN_05g01800,Uncharacterized,4.3366929221691,4.88597485123035,178.46992023009,1.0459394040361699e-40,1.11140746302954e-38,UP
BCIN_11g01980,Uncharacterized,3.44948028309206,6.33195008083331,173.230480320581,1.45758944352817e-39,1.51150269162012e-37,UP
BCIN_10g01760,Uncharacterized,2.17163206543693,5.70481633331552,172.582038146039,2.01951853327829e-39,2.04494070775603e-37,UP
BCIN_06g04090,Uncharacterized,3.1380435509611,3.00868668166686,170.782866029564,4.9909472792098e-39,4.99500967815799e-37,UP
BCIN_01g11460,Uncharacterized,2.79999974042049,8.81950484033362,170.090016346554,7.07141050693363e-39,6.99581956703192e-37,UP
BCIN_04g06340,Uncharacterized,3.12167627515153,4.283704576823,168.790561865887,1.35933104534789e-38,1.3145800345291298e-36,UP
BCIN_01g03360,Uncharacterized,5.57290735079513,5.69464018009841,168.749815462263,1.38747455517731e-38,1.3268881662679098e-36,UP
BCIN_05g03370,Uncharacterized,2.15966710204254,5.73032584325948,164.838428585634,9.92213204529327e-38,9.08508409721693e-36,UP
BCIN_06g00520,Uncharacterized,3.67329136295564,3.266365151809,161.71493384414,4.77494133663179e-37,4.2368989777721503e-35,UP
BCIN_11g02620,Bchol1,4.48593459777357,6.09522318005816,161.150408180826,6.34312778250176e-37,5.51467685090835e-35,UP
BCIN_02g07640,Bclcc7,3.21736374049453,9.54130695891132,159.478730131629,1.4707560741704599e-36,1.2533462901371399e-34,UP
BCIN_08g05210,Uncharacterized,2.4212043820939,6.26253862219467,158.94023259181,1.92841019449426e-36,1.6114394702924399e-34,UP
BCIN_07g06050,Uncharacterized,3.58864042061197,6.34107642611476,157.951998257341,3.17051314229803e-36,2.6239044822845398e-34,UP
BCIN_02g04960,Uncharacterized,2.21127633223669,5.66384609926048,157.140574819715,4.7690573487062005e-36,3.8723845849353095e-34,UP
BCIN_04g04800,Bcbrn1,3.85907910034518,9.25846938682471,156.365246628458,7.04455700756314e-36,5.666588987298689e-34,UP
BCIN_13g02230,Uncharacterized,2.03246502702487,4.85356849520967,156.081415785884,8.125992090015179e-36,6.475964251737099e-34,UP
BCIN_05g05650,Uncharacterized,3.79834740583496,3.80480639356616,154.660463837638,1.6610907337723802e-35,1.31165210509898e-33,UP
BCIN_06g04670,Uncharacterized,1.98446548630632,5.76980272481674,154.485469504338,1.81399316049824e-35,1.4193671938553e-33,UP
BCIN_07g00370,Uncharacterized,5.34026467064951,3.96629803968915,154.407304365955,1.8867636830646502e-35,1.46300675857094e-33,UP
BCIN_11g00660,Uncharacterized,2.78538236927333,5.72345095239461,152.393129403377,5.19882564913234e-35,3.89098194452887e-33,UP
BCIN_15g03080,BccutA,2.26492535502123,3.94528580113232,144.562923506524,2.67619459704736e-33,1.9036369336187302e-31,UP
BCIN_04g04680,Uncharacterized,3.21448035531239,4.71130228614061,143.647304439556,4.24329326453924e-33,2.89857342284835e-31,UP
BCIN_06g01030,Uncharacterized,2.50057582457695,4.37593285561637,142.456818093534,7.72674480230391e-33,5.155356008793e-31,UP
BCIN_15g02820,Uncharacterized,2.4416693992821,8.31036583619805,141.220975686798,1.43953612963864e-32,9.530836513692099e-31,UP
BCIN_07g06780,Bclcc9,3.08609274206162,5.54229676168086,141.111006297032,1.52148950982607e-32,9.92080319020682e-31,UP
BCIN_05g01820,Uncharacterized,1.46247620034392,6.38055234303347,140.384911347804,2.19302369959897e-32,1.4191996227404698e-30,UP
BCIN_01g10380,Uncharacterized,2.77820414470399,7.64891212673439,139.853196057394,2.86626597802033e-32,1.82740379798674e-30,UP
BCIN_15g04760,Uncharacterized,4.33814353246447,5.79462906837461,134.568812882088,4.102532017456291e-31,2.55873138219176e-29,UP
BCIN_13g02680,Uncharacterized,1.77875311116604,5.2514172677639,133.402616163061,7.38161180248455e-31,4.47419244957637e-29,UP
BCIN_04g06040,Uncharacterized,4.2966442018538,6.4045081285218,132.067075249716,1.4464831323806498e-30,8.5861243588967e-29,UP
BCIN_01g02950,Uncharacterized,2.19200700707842,4.85002138641892,131.741770166549,1.70404154717039e-30,1.00456750660928e-28,UP
BCIN_14g01160,Uncharacterized,4.05230489789798,1.73526037741225,129.953033472301,4.1958912238711794e-30,2.42376078952075e-28,UP
BCIN_05g06650,Uncharacterized,2.28486165161408,3.9043507856657,129.566712945812,5.0974097662110595e-30,2.9248937238519e-28,UP
