Gene_ID	Gene_Name	logFC	logCPM	LR	PValue	FDR
BCIN_15g05080	Bcgas5	6.57705030335371	8.39153825118095	1238.64275427962	2.43927348666709e-271	2.09948268997436e-267
BCIN_07g00950	Uncharacterized	-9.80786327733975	5.45793097625106	1202.28753648496	1.94157439197949e-263	8.35556539588373e-260
BCIN_15g05670	Uncharacterized	-10.3983841141553	7.17775985045669	1175.41946951846	1.34084987810679e-257	3.84689830028839e-254
BCIN_03g00190	Uncharacterized	6.80060442111347	5.95296222221921	790.447101865579	6.44241452875007e-174	1.3862465462238e-170
BCIN_13g01110	Uncharacterized	4.51568992753144	5.69691317031275	783.74573263492	1.84534106938351e-172	3.17657011683677e-169
BCIN_10g05950	Bcpac1	-11.0047031199299	8.01433547762016	764.39331422986	2.97725563016248e-168	4.27087320146808e-165
BCIN_01g11500	Uncharacterized	6.80452420790657	9.39605545916598	709.117985991846	3.11140356393686e-156	3.82569292497208e-153
BCIN_05g04770	Uncharacterized	5.25009366121226	7.89597755192828	680.765679831519	4.5542461610446e-150	4.89979958851386e-147
BCIN_12g01030	Uncharacterized	-9.12148468977028	9.05728148744776	628.587675248387	1.01388704922635e-138	9.69613981410132e-136
BCIN_06g05050	Uncharacterized	-9.29759146241318	7.91679583436314	622.944180833305	1.71163426355183e-137	1.47320361063906e-134
BCIN_04g04150	Uncharacterized	7.95348862208383	7.33666383524161	566.770907253143	2.8296623404491e-125	2.21408216038594e-122
BCIN_03g05230	Uncharacterized	-7.5166590247613	7.36987732944873	558.81493693518	1.52198571562807e-123	1.09164425453423e-120
BCIN_01g11480	Uncharacterized	8.70557942256463	8.85150883300897	545.586317224783	1.14855670331504e-120	7.60432888110195e-118
BCIN_01g11470	Uncharacterized	5.48669247181137	8.9238247749602	520.166790460284	3.89273131550593e-115	2.39319560232568e-112
BCIN_02g04360	Bcygh1	3.25389513919796	7.62404237624593	510.265404745774	5.55226544397605e-113	3.18588991175346e-110
BCIN_02g03480	Uncharacterized	-4.36285477772377	5.077448709629	507.625851107588	2.08335761780235e-112	1.12071618852655e-109
BCIN_01g00800	Bclcc8	2.93323152727223	5.1435154783409	488.42215331415	3.14148290053976e-108	1.5905143132321e-105
BCIN_01g11520	Uncharacterized	5.5786391917637	8.84750208416736	487.541462282416	4.88387609223353e-108	2.33530675143633e-105
BCIN_03g02600	Uncharacterized	-3.37622741499614	4.28931325826793	469.574766232226	3.96554409673477e-104	1.79639147582085e-101
BCIN_01g09950	Uncharacterized	-4.21367070035209	12.3792019821428	459.614999063248	5.8300757085019e-102	2.50897308115379e-99
BCIN_07g04370	Uncharacterized	-3.71134485883166	6.29638489713739	449.113992649472	1.12443851680971e-99	4.60859157818152e-97
BCIN_10g05630	Uncharacterized	-5.20130089295833	6.88127821129399	448.977911206151	1.20379057645309e-99	4.70955704160533e-97
BCIN_07g00970	Uncharacterized	-4.46946120659192	5.94130585651882	445.700309717856	6.22095477162037e-99	2.32798946605811e-96
BCIN_13g02690	Uncharacterized	3.28662655524484	6.90462907947446	444.583969147193	1.08845246595166e-98	3.90346265601916e-96
BCIN_03g02050	Uncharacterized	-3.19379110092628	5.303481952225	440.332704036197	9.16298675794829e-98	3.15463308102644e-95
BCIN_12g01020	Bcoah	-10.8589278020018	12.6759339842276	432.024326660949	5.89244990666703e-96	1.95062755179551e-93
BCIN_01g11540	Uncharacterized	6.26970159802838	8.32360499045423	426.478353052645	9.49251842221701e-95	3.02600392814896e-92
BCIN_06g04090	Uncharacterized	5.13365157585962	3.00868668166686	424.627077705203	2.40060688839808e-94	7.37929410301509e-92
BCIN_04g03320	Bcnrk1	-2.74934239826879	5.71062488973025	423.981141376	3.31828261823758e-94	9.84843396385201e-92
BCIN_03g00700	Uncharacterized	-3.11848688480157	3.96941771522148	423.085720645632	5.19766705200175e-94	1.4912106772193e-91
BCIN_11g03590	Uncharacterized	5.85678559554743	3.55374002852382	421.875992523947	9.53051675221885e-94	2.64610186084992e-91
BCIN_12g05550	Uncharacterized	-4.77779206723016	10.0841763004606	421.040301662728	1.44881510880357e-93	3.8968598879601e-91
BCIN_05g01820	Uncharacterized	2.65277458760961	6.38055234303347	416.681770694088	1.2873743786098e-92	3.35770644748321e-90
BCIN_07g00960	Uncharacterized	-4.25770740790472	6.75763582706291	412.893447033402	8.59612452279344e-92	2.17608364022598e-89
BCIN_01g00100	Bcboa10	8.10622648804658	4.43422410979874	411.737410953936	1.53440023228959e-91	3.77330937123328e-89
BCIN_01g10840	Uncharacterized	3.35231344182348	9.55188764303329	407.123056875818	1.55013105212252e-90	3.70610499044959e-88
BCIN_05g06090	Uncharacterized	4.28528561254809	5.86121002890574	404.187649826205	6.75068174993284e-90	1.57035453572086e-87
BCIN_06g03740	Uncharacterized	6.59490079738398	2.68089441428983	397.079628756181	2.38050180987355e-88	5.3918365993636e-86
BCIN_01g11450	Bcnrps7	6.36601211433468	8.77473787632194	395.096307618661	6.43314180719909e-88	1.41974491114263e-85
BCIN_09g03950	Uncharacterized	-2.82558760125041	4.36291744362229	393.349533366229	1.54414357780672e-87	3.3226109435456e-85
BCIN_13g01120	Uncharacterized	5.9667326834994	7.91360448282888	392.43317244827	2.44442570864359e-87	5.13150538397448e-85
BCIN_09g00980	Uncharacterized	-3.8059477929695	8.72473455634496	387.086387373549	3.56599132192983e-86	7.30773507329762e-84
BCIN_09g04280	Uncharacterized	2.30501338681336	6.25722525308794	373.33102505397	3.52318429175986e-83	7.05210399980862e-81
BCIN_11g00090	Uncharacterized	2.54552385248198	5.18536522746753	373.265779539921	3.64033203010418e-83	7.12098585979698e-81
