Artigo,Funexpression
BCIN_15g05670,BCIN_01g00190
BCIN_04g00180,BCIN_01g00260
BCIN_03g05230,BCIN_01g00290
BCIN_09g04900,BCIN_01g00370
BCIN_12g00430,BCIN_01g00410
BCIN_06g07150,BCIN_01g00420
BCIN_01g04120,BCIN_01g00500
BCIN_06g01590,BCIN_01g00510
BCIN_06g03440,BCIN_01g00820
BCIN_01g03760,BCIN_01g00830
BCIN_01g09950,BCIN_01g00860
BCIN_12g02920,BCIN_01g00890
BCIN_02g01550,BCIN_01g00930
BCIN_06g06000,BCIN_01g00970
BCIN_02g02420,BCIN_01g01150
BCIN_14g01910,BCIN_01g01200
BCIN_13g04780,BCIN_01g01210
BCIN_09g00650,BCIN_01g01240
BCIN_14g01270,BCIN_01g01250
BCIN_09g02790,BCIN_01g01300
BCIN_11g01370,BCIN_01g01380
BCIN_12g05210,BCIN_01g01410
BCIN_02g08050,BCIN_01g01420
BCIN_12g05550,BCIN_01g01480
BCIN_04g00210,BCIN_01g01490
BCIN_03g00700,BCIN_01g01570
BCIN_14g01290,BCIN_01g01580
BCIN_01g02450,BCIN_01g01590
BCIN_09g05790,BCIN_01g01620
BCIN_10g05740,BCIN_01g01700
BCIN_01g02440,BCIN_01g01870
BCIN_01g01680,BCIN_01g01940
BCIN_14g01250,BCIN_01g02000
BCIN_15g01390,BCIN_01g02040
BCIN_01g01500,BCIN_01g02270
BCIN_14g03890,BCIN_01g02280
BCIN_02g07640,BCIN_01g02320
BCIN_14g00540,BCIN_01g02460
BCIN_16g02190,BCIN_01g02490
BCIN_06g04980,BCIN_01g02510
BCIN_03g02600,BCIN_01g02550
BCIN_08g03710,BCIN_01g02690
BCIN_06g05990,BCIN_01g02810
BCIN_06g07240,BCIN_01g02900
BCIN_16g04410,BCIN_01g02910
BCIN_10g04970,BCIN_01g02960
BCIN_09g07110,BCIN_01g02970
BCIN_14g01260,BCIN_01g03030
BCIN_09g00980,BCIN_01g03070
BCIN_01g08080,BCIN_01g03120
BCIN_03g06180,BCIN_01g03190
BCIN_01g04340,BCIN_01g03200
BCIN_16g03420,BCIN_01g03230
BCIN_14g01220,BCIN_01g03290
BCIN_08g04770,BCIN_01g03320
BCIN_04g05850,BCIN_01g03390
BCIN_14g02940,BCIN_01g03400
BCIN_04g03330,BCIN_01g03510
BCIN_11g04900,BCIN_01g03520
BCIN_09g00660,BCIN_01g03530
BCIN_16g01570,BCIN_01g03540
BCIN_04g06540,BCIN_01g03580
BCIN_15g01400,BCIN_01g03630
BCIN_14g01340,BCIN_01g03810
BCIN_02g01150,BCIN_01g03900
BCIN_03g01540,BCIN_01g03910
BCIN_12g00930,BCIN_01g03950
BCIN_12g01030,BCIN_01g04060
BCIN_02g07440,BCIN_01g04150
BCIN_09g07100,BCIN_01g04390
BCIN_14g01300,BCIN_01g04480
BCIN_01g01740,BCIN_01g04530
BCIN_03g03860,BCIN_01g04540
BCIN_16g01000,BCIN_01g04550
BCIN_12g04910,BCIN_01g04570
BCIN_03g00400,BCIN_01g04600
BCIN_09g06110,BCIN_01g04630
BCIN_11g03330,BCIN_01g04750
BCIN_02g01130,BCIN_01g04760
BCIN_14g03680,BCIN_01g04850
BCIN_06g00430,BCIN_01g04860
BCIN_01g06170,BCIN_01g04940
BCIN_06g05890,BCIN_01g05010
BCIN_12g04930,BCIN_01g05080
BCIN_15g00440,BCIN_01g05090
BCIN_04g03610,BCIN_01g05100
BCIN_11g00160,BCIN_01g05170
BCIN_02g02750,BCIN_01g05210
BCIN_02g07080,BCIN_01g05280
BCIN_08g06040,BCIN_01g05300
BCIN_10g05600,BCIN_01g05420
BCIN_03g07140,BCIN_01g05520
BCIN_11g00150,BCIN_01g05620
BCIN_04g03510,BCIN_01g05630
BCIN_13g05270,BCIN_01g05680
BCIN_12g06480,BCIN_01g05790
BCIN_08g05090,BCIN_01g05810
BCIN_15g05530,BCIN_01g05940
BCIN_13g04430,BCIN_01g06040
BCIN_04g03340,BCIN_01g06050
BCIN_01g05740,BCIN_01g06100
BCIN_08g04460,BCIN_01g06210
BCIN_02g03240,BCIN_01g06380
BCIN_10g03630,BCIN_01g06610
BCIN_13g00600,BCIN_01g06760
BCIN_14g04320,BCIN_01g06790
BCIN_02g01230,BCIN_01g06840
BCIN_03g03710,BCIN_01g06850
BCIN_02g06470,BCIN_01g06860
BCIN_08g05470,BCIN_01g06870
BCIN_07g02850,BCIN_01g06910
BCIN_06g00820,BCIN_01g07070
BCIN_03g07670,BCIN_01g07120
BCIN_08g04030,BCIN_01g07230
BCIN_01g09380,BCIN_01g07270
BCIN_04g01780,BCIN_01g07390
BCIN_13g05490,BCIN_01g07410
BCIN_14g01230,BCIN_01g07440
BCIN_02g02270,BCIN_01g07530
BCIN_02g01820,BCIN_01g07560
BCIN_10g02200,BCIN_01g07640
BCIN_09g01910,BCIN_01g07720
BCIN_12g00660,BCIN_01g07750
BCIN_09g01310,BCIN_01g07760
BCIN_12g00640,BCIN_01g07770
BCIN_16g04790,BCIN_01g07880
BCIN_03g06520,BCIN_01g07930
BCIN_02g08830,BCIN_01g07940
BCIN_16g04260,BCIN_01g07950
BCIN_02g03060,BCIN_01g07960
BCIN_03g07910,BCIN_01g08110
BCIN_15g02880,BCIN_01g08140
BCIN_16g00940,BCIN_01g08150
BCIN_08g06490,BCIN_01g08160
BCIN_13g05770,BCIN_01g08200
BCIN_02g03960,BCIN_01g08270
BCIN_03g07230,BCIN_01g08280
